#phase_name,vspeed,weapon_name,ammo_name,weapon2,ammo_2,weapon3,ammo3,pattern,angspeed,radius,modifier,wake_up,welcome_weapon,welcome_ammo,condition,op,value,transitionPhase,condition2,op2,value2,transitionPhase2
phase01,80,laser_fast,fireball,0,fireball,0,fireball,0,0,0,0,0,0,,positionV,greater,150,phase02,life,lesser,0,phase05
phase02,0,laser,fireball,laser_arc,fireball_blue,0,fireball,oscillator,50,60,0,0,0,,shield,lesser,99,phase03,life,lesser,0,phase05
phase03,150,0,fireball,0,fire_ball,0,fireball,0,0,0,0,0,0,,phaseClock,greater,2,phase04,life,lesser,0,phase05
phase04,-200,laser_fast,fireball,0,fireball,0,fireball,0,0,0,0,0,0,,positionV,lesser,100,phase02,life,lesser,0,phase05
phase05,200,0,0,laser_arc,fireball,0,fireball,0,,,0,0,laser_360,fireball,0,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
KatyushaIntro,0,0,,0,,0,,line,-70,,ghost,0,0,,positionH,lesser,450,KatyushaWaiting,0,,,
LSukhoiIntro,0,0,,0,,0,,line,-90,,ghost,0,0,,positionH,lesser,380,LSuhkoiPhase1,wakeUp,0,0,LSuhkoiPhase1
RSukhoiIntro,0,0,,0,,0,,line,-60,,ghost,0,0,,positionH,lesser,520,RSuhkoiPhase1,wakeUp,0,0,RSuhkoiPhase1
LSuhkoiPhase1,0,laser_fast,fireball,laser,fireball,0,,oscillator,60,100,0,Hatsuki,0,,life,lesser,0,SukhoisDeath,0,,,
RSuhkoiPhase1,0,laser_fast,fireball,laser,fireball,0,,oscillator,60,100,0,Itsukhoi,0,,life,lesser,0,SukhoisDeath,0,,,
SukhoisDeath,0,0,,0,,0,,0,,,0,Katyusha,0,,0,,,,0,,,
KatyushaWaiting,0,0,,0,,0,,0,,,ghost,0,0,,wakeUp,,,KatyushaWaiting2,0,,,
KatyushaWaiting2,0,0,,0,,0,,0,,,ghost,0,0,,wakeUp,,,KatyushaFullLife,0,,,
KatyushaFullLife,0,laser_fast,fireball,laser_arc,fireball_blue,0,,circle,70,70,0,0,0,,life,lesser,50,KatyushaMidLife,0,,,
KatyushaMidLife,0,laser_fast,fireball,laser_arc,fireball_blue,laser,fireball,circle,100,100,0,0,0,,0,,,,0,,,
