#,filename,width,height,vspeed,Vertical/Horizontal,Size Stellarmap,
bg,Assets/2D/Backgrounds/BGHorizontal_2.png,5400,1080,75,H,1,
#,enemies_name,proba,enemy_class,Level,spawnCost,repeatChance,missChance
enemy,V_Alpha1,1,1,3,2.5,0.20f,0.30f
enemy,V_Alpha2,2,1,3,,,
enemy,V_Sigma1,2,2,3,6,0.1,0.30f
enemy,V_Sigma2,1,2,3,,,
enemy,V_Gamma1,1,3,3,8,0.3,0.30f
enemy,V_Zeta_01,2,0,2,1,0.2f,0.6f
enemy,V_Zeta_02,1,0,2,,,
enemy,V_Zeta_03,2,0,2,,,
enemy,V_Zeta_04,1,0,2,,,
enemy,V_Zeta_05,2,0,2,,,
enemy,V_Zeta_06,1,0,2,,,
