#,filename,width,height,vspeed,Vertical/Horizontal,Size Stellarmap,
bg,2D/Backgrounds/BGVertical_1.png,1080,5400,75,V,1,
#,enemies_name,proba,enemy_class,Level,spawnCost,repeatChance,MissChance
enemy,V_Alpha2,1,1,11,3,0.3f,0.30f
enemy,V_Alpha3,1,1,11,,,
enemy,V_Sigma2,1,2,11,10,0.2f,0.3f
enemy,V_Sigma3,2,2,11,,,
enemy,V_Beta1,1,3,11,10,0.2,0.30f
enemy,V_Beta2,1,3,11,,,
enemy,V_Beta3,2,3,11,,,
enemy,V_Gamma1,1,4,11,8,0.3f,0.3f
enemy,V_Gamma2,1,4,11,,,
enemy,V_Gamma3,1,4,11,,,
enemy,V_Delta1,1,5,11,14,0.2f,0.3f
enemy,V_Delta2,1,5,11,,,
enemy,V_Zeta_01,2,0,9,1,0.2f,0.6f
enemy,V_Zeta_02,1,0,9,,,
enemy,V_Zeta_03,2,0,9,,,
enemy,V_Zeta_04,1,0,9,,,
enemy,V_Zeta_05,2,0,9,,,
enemy,V_Zeta_06,1,0,9,,,
