#,enemies_name,proba,enemy_class,Level,spawnCost,repeatChance,MissChance
enemy,V_Alpha2,1,1,11,3,0.3f,0.3f
enemy,V_Alpha3,1,1,11,,,
enemy,V_Sigma2,1,2,11,10,0.2f,0.3f
enemy,V_Sigma3,2,2,11,,,
enemy,V_Beta2,1,3,11,10,0.2f,0.3f
enemy,V_Beta3,2,3,11,,,
enemy,V_Gamma1,1,4,11,8,0.3f,0.3f
enemy,V_Gamma2,1,4,11,,,
enemy,V_Gamma3,1,4,11,,,
enemy,V_Delta2,1,5,11,14,0.2f,0.3f
enemy,V_Delta3,1,5,11,,,
#,name,enemy_class,spawnX,spawnY,rotation,,
boss,V_BetaGold,7,0.5,-0.2,0,,
boss,V_AlphaGold4,0,0.6,-0.1,0,,
boss,V_AlphaGold2,0,0.4,-0.1,0,,
boss,V_AlphaGold3,0,0.5,-0.05,0,,
boss,V_AlphaGold1,0,0.3,-0.15,0,,
boss,V_AlphaGold5,0,0.7,-0.15,0,,
