#,filename,width,height,vspeed,Vertical/Horizontal,Size Stellarmap,
bg,2D/Backgrounds/BGVertical_1.jpg,1080,5400,150,V,1,
#,enemies_name,proba,enemy_class,level,spawnCost,repeatChance,missChance
enemy,V_Alpha1,1,1,1,8,0,0.2
enemy,V_Zeta_01,1,0,1,0.25,0.2,0.7
enemy,V_Zeta_02,1,0,1,0.25,0.2,0.7
enemy,V_Zeta_03,1,0,1,0.25,0.2,0.7
enemy,V_Zeta_04,1,0,1,0.25,0.2,0.7
enemy,V_Zeta_05,1,0,1,0.25,0.2,0.7
enemy,V_Zeta_06,1,0,1,0.25,0.2,0.7
#,portal_open_during_boss,,,,,,
script,1,,,,,,
#,dialog_name,time_of_trigger,,,,,
dialog,Dial_VIntro_01,1,,,,,
dialog,Dial_VIntro_03,20,,,,,
#,music_name,,,,,,
music,Music/Conflict.ogg,,,,,,
