index activation_function momentum learning_rate attempts loops success_rate RMSE topology 
0 4 0.4 0.2 1358 0 85.4626 0.192799 3 
1 4 0.4 0.2 890 0 79.2952 0.127015 3 
2 4 0.4 0.2 857 0 82.8194 0.136789 3 
3 4 0.4 0.2 899 0 81.4978 0.115876 3 
4 4 0.4 0.2 793 0 72.6872 0.127598 3 
5 4 0.4 0.2 1843 0 73.5683 0.437837 3 
6 4 0.4 0.2 1409 0 81.9383 0.112773 3 
7 4 0.4 0.2 1356 0 59.0308 0.431222 3 
8 4 0.4 0.2 1045 0 74.8899 0.16905 3 
9 4 0.4 0.2 752 0 76.652 0.252302 3 
10 4 0.4 0.2 1024 0 66.9604 0.228276 3 
11 4 0.4 0.2 979 0 85.022 0.135504 3 
12 4 0.4 0.2 881 0 70.0441 0.23494 3 
13 4 0.4 0.2 730 0 91.1894 0.100083 3 
14 4 0.4 0.2 1080 0 80.6167 0.0980827 3 
15 4 0.4 0.2 876 0 69.6035 0.149833 3 
